,user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
2165217,B821R4BCI31Q,ef06e8942f2be,1541224013,16,filter selection,House / Apartment,PT,"Seoul, South Korea",desktop,Sort by Price|House / Apartment|Serviced Apartment,,
2165219,B821R4BCI31Q,ef06e8942f2be,1541224154,18,filter selection,Serviced Apartment,PT,"Seoul, South Korea",desktop,Sort by Price,,
2165220,B821R4BCI31Q,ef06e8942f2be,1541224154,19,filter selection,House / Apartment,PT,"Seoul, South Korea",desktop,Sort by Price,,
2165221,B821R4BCI31Q,ef06e8942f2be,1541224156,20,filter selection,Hotel,PT,"Seoul, South Korea",desktop,Sort by Price|Hotel,,
2165222,B821R4BCI31Q,ef06e8942f2be,1541224167,21,filter selection,5 Star,PT,"Seoul, South Korea",desktop,Sort by Price|Hotel|5 Star,,
2165239,B821R4BCI31Q,ef06e8942f2be,1541224230,38,filter selection,5 Star,PT,"Seoul, South Korea",desktop,Sort by Price|Hotel,,
2165240,B821R4BCI31Q,ef06e8942f2be,1541224236,39,filter selection,1 Star,PT,"Seoul, South Korea",desktop,Sort by Price|Hotel|1 Star,,
2165241,B821R4BCI31Q,ef06e8942f2be,1541224243,40,filter selection,2 Star,PT,"Seoul, South Korea",desktop,Sort by Price|Hotel|1 Star|2 Star,,
2165242,B821R4BCI31Q,ef06e8942f2be,1541224253,41,filter selection,3 Star,PT,"Seoul, South Korea",desktop,Sort by Price|Hotel|1 Star|2 Star|3 Star,,
2189890,73ABYBMO9M09,bd2b2d3a01286,1541394625,2,search for poi,Myeong-dong,SG,"Seoul, South Korea",desktop,,,
2189891,73ABYBMO9M09,bd2b2d3a01286,1541394653,3,filter selection,unknown,SG,"Seoul, South Korea",desktop,Hotel Chain,,
2201321,XK99R0028BQG,e68cd1ccbfbd0,1541387887,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2201326,XK99R0028BQG,e68cd1ccbfbd0,1541388359,6,filter selection,4 Star,JP,"Seoul, South Korea",mobile,4 Star,,
2201327,XK99R0028BQG,e68cd1ccbfbd0,1541388359,7,filter selection,5 Star,JP,"Seoul, South Korea",mobile,4 Star|5 Star,,
2213083,L4549GROSY8S,3992057b09af6,1541506612,1,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
2213084,L4549GROSY8S,3992057b09af6,1541506664,2,filter selection,Hotel,JP,"Seoul, South Korea",mobile,Hotel,,
2213087,L4549GROSY8S,3992057b09af6,1541506814,5,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
2213092,L4549GROSY8S,3992057b09af6,1541507243,10,filter selection,Satisfactory Rating,JP,"Seoul, South Korea",mobile,Satisfactory Rating,,
2213093,L4549GROSY8S,3992057b09af6,1541507263,11,filter selection,Good Rating,JP,"Seoul, South Korea",mobile,Good Rating,,
2213096,L4549GROSY8S,3992057b09af6,1541507368,14,filter selection,Very Good Rating,JP,"Seoul, South Korea",mobile,Very Good Rating,,
2213097,L4549GROSY8S,3992057b09af6,1541507415,15,filter selection,Excellent Rating,JP,"Seoul, South Korea",mobile,Excellent Rating,,
2213098,L4549GROSY8S,3992057b09af6,1541507473,16,filter selection,3 Star,JP,"Seoul, South Korea",mobile,Excellent Rating|3 Star,,
2213100,L4549GROSY8S,3992057b09af6,1541507513,18,filter selection,2 Star,JP,"Seoul, South Korea",mobile,Excellent Rating|3 Star|2 Star,,
2226158,BYJ5M63HJ9VB,0d2cd4ece9773,1541049087,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2226159,BYJ5M63HJ9VB,0d2cd4ece9773,1541049252,2,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2226160,BYJ5M63HJ9VB,0d2cd4ece9773,1541049290,3,filter selection,Excellent Rating,JP,"Seoul, South Korea",mobile,Excellent Rating,,
2226162,BYJ5M63HJ9VB,0d2cd4ece9773,1541049417,5,filter selection,4 Star,JP,"Seoul, South Korea",mobile,Excellent Rating|4 Star,,
2246981,350E6J9EL6GB,eb4099d28591f,1541213010,2,search for poi,Myeongdong,SG,"Seoul, South Korea",mobile,,,
2270971,54856LRUG68G,f55f2c32c87e8,1541462139,26,search for destination,"Seoul, South Korea",US,"Seoul, South Korea",mobile,,,
2270994,54856LRUG68G,f55f2c32c87e8,1541462312,49,filter selection,Excellent Rating,US,"Seoul, South Korea",mobile,Excellent Rating,,
2288120,BX8XTUPY1Z95,910c28af3b0fd,1541507696,10,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,Best Value|5 Star,,
2288122,BX8XTUPY1Z95,910c28af3b0fd,1541508430,12,filter selection,4 Star,JP,"Seoul, South Korea",mobile,Best Value|5 Star|4 Star,,
2288123,BX8XTUPY1Z95,910c28af3b0fd,1541508435,13,filter selection,5 Star,JP,"Seoul, South Korea",mobile,Best Value|4 Star,,
2288124,BX8XTUPY1Z95,910c28af3b0fd,1541508439,14,filter selection,3 Star,JP,"Seoul, South Korea",mobile,Best Value|4 Star|3 Star,,
2301813,BYJ5M63HJ9VB,7af058c6207ac,1541068145,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,Excellent Rating,,
2306462,LY0ONQBSHRB4,0c1f7c4bcee99,1541076770,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2306463,LY0ONQBSHRB4,0c1f7c4bcee99,1541076966,2,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2306464,LY0ONQBSHRB4,0c1f7c4bcee99,1541077002,3,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
2306465,LY0ONQBSHRB4,0c1f7c4bcee99,1541077012,4,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
2306466,LY0ONQBSHRB4,0c1f7c4bcee99,1541077012,5,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
2340804,OPYIESF78YHZ,4a04d755d20f7,1541371415,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2349810,E7S9RF2W44U5,c3101f331c03d,1541406575,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2349811,E7S9RF2W44U5,c3101f331c03d,1541406661,2,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2349815,E7S9RF2W44U5,c3101f331c03d,1541406858,6,filter selection,Focus on Distance,JP,"Seoul, South Korea",desktop,Focus on Distance,,
2349816,E7S9RF2W44U5,c3101f331c03d,1541406858,7,search for poi,COEX Aquarium,JP,"Seoul, South Korea",desktop,Focus on Distance,,
2349817,E7S9RF2W44U5,c3101f331c03d,1541406866,8,filter selection,Hostal (ES),JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
2349818,E7S9RF2W44U5,c3101f331c03d,1541406866,9,filter selection,Hotel,JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
2349819,E7S9RF2W44U5,c3101f331c03d,1541406866,10,filter selection,Motel,JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
2349820,E7S9RF2W44U5,c3101f331c03d,1541406866,11,filter selection,Resort,JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
2349821,E7S9RF2W44U5,c3101f331c03d,1541406866,12,filter selection,4 Star,JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
2349822,E7S9RF2W44U5,c3101f331c03d,1541406866,13,filter selection,5 Star,JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
2349842,E7S9RF2W44U5,c3101f331c03d,1541407033,33,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2349849,E7S9RF2W44U5,c3101f331c03d,1541407193,40,filter selection,Very Good Rating,JP,"Seoul, South Korea",desktop,Focus on Distance|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Very Good Rating,,
2349850,E7S9RF2W44U5,c3101f331c03d,1541407200,41,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2349851,E7S9RF2W44U5,c3101f331c03d,1541407200,42,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2349852,E7S9RF2W44U5,c3101f331c03d,1541407203,43,change of sort order,price and recommended,JP,"Seoul, South Korea",desktop,,,
2349853,E7S9RF2W44U5,c3101f331c03d,1541407203,44,filter selection,Best Value,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Very Good Rating|Best Value,,
2357644,YX7K16BFKMPG,d8522a58470a6,1541406932,2,search for destination,"Seoul, South Korea",HK,"Seoul, South Korea",desktop,,,
2357645,YX7K16BFKMPG,d8522a58470a6,1541406935,3,change of sort order,interaction sort button,HK,"Seoul, South Korea",desktop,,,
2368337,M0BHXU4RYR3V,19352f47e542d,1541495159,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2368340,M0BHXU4RYR3V,19352f47e542d,1541495274,4,filter selection,5 Star,JP,"Seoul, South Korea",desktop,5 Star,,
2368341,M0BHXU4RYR3V,19352f47e542d,1541495284,5,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2368342,M0BHXU4RYR3V,19352f47e542d,1541495284,6,change of sort order,price only,JP,"Seoul, South Korea",desktop,,,
2368343,M0BHXU4RYR3V,19352f47e542d,1541495284,7,filter selection,Sort by Price,JP,"Seoul, South Korea",desktop,5 Star|Sort by Price,,
2387316,21P71YZ9DRFO,2b9a090448a14,1541167586,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,Excellent Rating|Focus on Rating,,
2388262,59INWX7007WQ,b65ee685a2134,1541136622,136,search for poi,Myeongdong,MY,"Seoul, South Korea",desktop,,,
2400801,4BDX2DNQVXFQ,5e3f63027fbce,1541256270,1,filter selection,3 Star,MY,"Seoul, South Korea",mobile,3 Star,,
2400802,4BDX2DNQVXFQ,5e3f63027fbce,1541256275,2,filter selection,4 Star,MY,"Seoul, South Korea",mobile,3 Star|4 Star,,
2400803,4BDX2DNQVXFQ,5e3f63027fbce,1541256281,3,filter selection,5 Star,MY,"Seoul, South Korea",mobile,3 Star|4 Star|5 Star,,
2400804,4BDX2DNQVXFQ,5e3f63027fbce,1541256298,4,filter selection,Focus on Distance,MY,"Seoul, South Korea",mobile,3 Star|4 Star|5 Star|Focus on Distance,,
2400805,4BDX2DNQVXFQ,5e3f63027fbce,1541256298,5,search for poi,Changdeokgung,MY,"Seoul, South Korea",mobile,3 Star|4 Star|5 Star|Focus on Distance,,
2400806,4BDX2DNQVXFQ,5e3f63027fbce,1541256303,6,search for destination,"Seoul, South Korea",MY,"Seoul, South Korea",mobile,3 Star|4 Star|5 Star|Focus on Distance,,
2400807,4BDX2DNQVXFQ,5e3f63027fbce,1541256319,7,filter selection,Free WiFi (Combined),MY,"Seoul, South Korea",mobile,3 Star|4 Star|5 Star|Focus on Distance|Free WiFi (Combined),,
2400808,4BDX2DNQVXFQ,5e3f63027fbce,1541256329,8,filter selection,Air Conditioning,MY,"Seoul, South Korea",mobile,3 Star|4 Star|5 Star|Focus on Distance|Free WiFi (Combined)|Air Conditioning,,
2402832,A65J5P9NM1WZ,ad11477f84c5c,1541245918,10,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,Free WiFi (Combined)|Car Park,,
2411759,1V4I9L484PDD,802d2fe4f0b42,1541362397,2,search for poi,Myeong-dong,US,"Seoul, South Korea",mobile,,,
2411760,1V4I9L484PDD,802d2fe4f0b42,1541362598,3,change of sort order,interaction sort button,US,"Seoul, South Korea",mobile,,,
2411761,1V4I9L484PDD,802d2fe4f0b42,1541362608,4,change of sort order,price and recommended,US,"Seoul, South Korea",mobile,,,
2411762,1V4I9L484PDD,802d2fe4f0b42,1541362608,5,filter selection,Best Value,US,"Seoul, South Korea",mobile,Best Value,,
2411765,1V4I9L484PDD,802d2fe4f0b42,1541362753,8,change of sort order,interaction sort button,US,"Seoul, South Korea",mobile,,,
2411766,1V4I9L484PDD,802d2fe4f0b42,1541362763,9,change of sort order,distance and recommended,US,"Seoul, South Korea",mobile,,,
2411767,1V4I9L484PDD,802d2fe4f0b42,1541362763,10,filter selection,Focus on Distance,US,"Seoul, South Korea",mobile,Focus on Distance,,
2472641,EGV488W8UGPN,ba62aeeac050c,1541171381,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2497171,7RCX3JM79W72,8bb355f9d7a91,1541329367,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2497172,7RCX3JM79W72,8bb355f9d7a91,1541329387,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2530672,QE608TFUKLVX,05cb3390edd19,1541521189,1,search for poi,Myeongdong,HK,"Seoul, South Korea",mobile,,,
2530675,QE608TFUKLVX,05cb3390edd19,1541521642,4,search for poi,Myeongdong,HK,"Seoul, South Korea",mobile,,,
2530677,QE608TFUKLVX,05cb3390edd19,1541522027,6,search for poi,Myeongdong,HK,"Seoul, South Korea",mobile,,,
2547243,0QXBLTH3PT5Q,a82389635a94e,1541167838,1,search for poi,Jamsil Baseball Stadium,KR,"Seoul, South Korea",desktop,,,
2547244,0QXBLTH3PT5Q,a82389635a94e,1541167840,2,search for poi,Jamsil Baseball Stadium,KR,"Seoul, South Korea",desktop,,,
2550595,7O86GDT5O9TQ,c6616042daa5f,1541150041,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2599537,W1HBOXQJ2L87,e418b22814737,1541377281,1,search for destination,"Seoul, South Korea",AU,"Seoul, South Korea",mobile,,,
2599538,W1HBOXQJ2L87,e418b22814737,1541377370,2,change of sort order,interaction sort button,AU,"Seoul, South Korea",mobile,,,
2599539,W1HBOXQJ2L87,e418b22814737,1541377375,3,change of sort order,price and recommended,AU,"Seoul, South Korea",mobile,,,
2599540,W1HBOXQJ2L87,e418b22814737,1541377375,4,filter selection,Best Value,AU,"Seoul, South Korea",mobile,Best Value,,
2600136,X5T9Z62719SV,87b33132d40c2,1541422054,3,filter selection,Focus on Distance,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600137,X5T9Z62719SV,87b33132d40c2,1541422054,4,search for poi,Seoul Arts Center,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600138,X5T9Z62719SV,87b33132d40c2,1541422088,5,filter selection,Focus on Distance,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600139,X5T9Z62719SV,87b33132d40c2,1541422088,6,search for poi,Seoul Station,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600140,X5T9Z62719SV,87b33132d40c2,1541422095,7,filter selection,Focus on Distance,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600141,X5T9Z62719SV,87b33132d40c2,1541422095,8,search for poi,Gimpo International Airport,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600142,X5T9Z62719SV,87b33132d40c2,1541422098,9,filter selection,Focus on Distance,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600143,X5T9Z62719SV,87b33132d40c2,1541422098,10,search for poi,Seoul Station,JP,"Seoul, South Korea",tablet,Focus on Distance,,
2600144,X5T9Z62719SV,87b33132d40c2,1541422164,11,filter selection,Hotel,JP,"Seoul, South Korea",tablet,Focus on Distance|Hotel,,
2669393,D3U837GQ96TR,e6526801e9ecf,1541425287,1,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
2669395,D3U837GQ96TR,e6526801e9ecf,1541425367,3,filter selection,Serviced Apartment,KR,"Seoul, South Korea",mobile,House / Apartment|Serviced Apartment,,
2669396,D3U837GQ96TR,e6526801e9ecf,1541425367,4,filter selection,House / Apartment,KR,"Seoul, South Korea",mobile,House / Apartment|Serviced Apartment,,
2669397,D3U837GQ96TR,e6526801e9ecf,1541425376,5,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
2669398,D3U837GQ96TR,e6526801e9ecf,1541425377,6,change of sort order,price only,KR,"Seoul, South Korea",mobile,,,
2669399,D3U837GQ96TR,e6526801e9ecf,1541425377,7,filter selection,Sort by Price,KR,"Seoul, South Korea",mobile,House / Apartment|Serviced Apartment|Sort by Price,,
2706814,3SFF7XVAZ1AU,08d855114d16e,1541175249,1,search for poi,Myeongdong,MY,"Seoul, South Korea",mobile,,,
2724127,F74KL1P968KM,4e9b60a5d9fba,1541260027,12,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
2724128,F74KL1P968KM,4e9b60a5d9fba,1541260046,13,change of sort order,rating only,JP,"Seoul, South Korea",mobile,,,
2724129,F74KL1P968KM,4e9b60a5d9fba,1541260046,14,filter selection,Sort By Rating,JP,"Seoul, South Korea",mobile,Sort By Rating,,
2724130,F74KL1P968KM,4e9b60a5d9fba,1541260051,15,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
2724131,F74KL1P968KM,4e9b60a5d9fba,1541260056,16,change of sort order,rating and recommended,JP,"Seoul, South Korea",mobile,,,
2724132,F74KL1P968KM,4e9b60a5d9fba,1541260056,17,filter selection,Focus on Rating,JP,"Seoul, South Korea",mobile,Focus on Rating,,
2738544,HJN84VOS8SNE,d459e82fc9e0a,1541323467,3,filter selection,Focus on Distance,SG,"Seoul, South Korea",desktop,Focus on Distance,,
2738545,HJN84VOS8SNE,d459e82fc9e0a,1541323467,4,search for poi,Seoul Station,SG,"Seoul, South Korea",desktop,Focus on Distance,,
2738546,HJN84VOS8SNE,d459e82fc9e0a,1541323535,5,filter selection,3 Star,SG,"Seoul, South Korea",desktop,Focus on Distance|3 Star,,
2746287,2BE239TNP72C,eccc09b867f7a,1541420102,4,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2746288,2BE239TNP72C,eccc09b867f7a,1541420106,5,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2746289,2BE239TNP72C,eccc09b867f7a,1541420112,6,change of sort order,price and recommended,JP,"Seoul, South Korea",desktop,,,
2746290,2BE239TNP72C,eccc09b867f7a,1541420112,7,filter selection,Best Value,JP,"Seoul, South Korea",desktop,Best Value,,
2746291,2BE239TNP72C,eccc09b867f7a,1541420115,8,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2746292,2BE239TNP72C,eccc09b867f7a,1541420115,9,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2746293,2BE239TNP72C,eccc09b867f7a,1541420123,10,change of sort order,rating and recommended,JP,"Seoul, South Korea",desktop,,,
2746294,2BE239TNP72C,eccc09b867f7a,1541420123,11,filter selection,Focus on Rating,JP,"Seoul, South Korea",desktop,Focus on Rating,,
2751416,EWNW7377JM7L,a87827c417ff9,1541384696,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2751417,EWNW7377JM7L,a87827c417ff9,1541384713,2,filter selection,Hotel,JP,"Seoul, South Korea",desktop,Hotel|Motel,,
2751418,EWNW7377JM7L,a87827c417ff9,1541384713,3,filter selection,Motel,JP,"Seoul, South Korea",desktop,Hotel|Motel,,
2751419,EWNW7377JM7L,a87827c417ff9,1541384717,4,filter selection,5 Star,JP,"Seoul, South Korea",desktop,Hotel|Motel|5 Star,,
2751420,EWNW7377JM7L,a87827c417ff9,1541384718,5,filter selection,4 Star,JP,"Seoul, South Korea",desktop,Hotel|Motel|5 Star|4 Star,,
2751421,EWNW7377JM7L,a87827c417ff9,1541384753,6,filter selection,Motel,JP,"Seoul, South Korea",desktop,Hotel|5 Star|4 Star|Focus on Distance,,
2751422,EWNW7377JM7L,a87827c417ff9,1541384773,7,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2751423,EWNW7377JM7L,a87827c417ff9,1541384773,8,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2751437,EWNW7377JM7L,a87827c417ff9,1541385522,22,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2751438,EWNW7377JM7L,a87827c417ff9,1541385532,23,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2754078,M2H4KJWZZYW2,b54314ad2abe8,1541376300,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2769319,QGDB2E6ZE9UN,952ac9d411bd4,1541467262,1,change of sort order,interaction sort button,RU,"Seoul, South Korea",mobile,,,
2769320,QGDB2E6ZE9UN,952ac9d411bd4,1541467267,2,change of sort order,price only,RU,"Seoul, South Korea",mobile,,,
2769321,QGDB2E6ZE9UN,952ac9d411bd4,1541467267,3,filter selection,Sort by Price,RU,"Seoul, South Korea",mobile,Sort by Price,,
2770365,UC583ZGUKTBZ,8edb663c51189,1541530677,1,search for destination,"Seoul, South Korea",RU,"Seoul, South Korea",desktop,,,
2788765,5M0RQAA0JHR7,dfaa6c8103b57,1541175233,1,search for poi,Gangnam-gu,US,"Seoul, South Korea",mobile,,,
2805888,L3YPFQ563BY4,7ec437b8ddc3d,1541206730,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2835961,NXEGDMEJ31TG,aea386656fae1,1541396836,1,search for poi,Dongdaemun Market,HK,"Seoul, South Korea",desktop,,,
2837117,S3LJA5TJA477,041385f57ab47,1541422578,1,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,Focus on Rating,,
2852992,WF7CRPYJPUM0,5000095425b75,1541487297,1,search for poi,Dongdaemun Market,HK,"Seoul, South Korea",mobile,,,
2852993,WF7CRPYJPUM0,5000095425b75,1541487351,2,change of sort order,interaction sort button,HK,"Seoul, South Korea",mobile,,,
2852994,WF7CRPYJPUM0,5000095425b75,1541487356,3,change of sort order,interaction sort button,HK,"Seoul, South Korea",mobile,,,
2852995,WF7CRPYJPUM0,5000095425b75,1541487356,4,change of sort order,distance and recommended,HK,"Seoul, South Korea",mobile,,,
2852996,WF7CRPYJPUM0,5000095425b75,1541487356,5,filter selection,Focus on Distance,HK,"Seoul, South Korea",mobile,Focus on Distance,,
2852997,WF7CRPYJPUM0,5000095425b75,1541487366,6,change of sort order,distance only,HK,"Seoul, South Korea",mobile,,,
2852999,WF7CRPYJPUM0,5000095425b75,1541487366,8,filter selection,Sort By Distance,HK,"Seoul, South Korea",mobile,Sort By Distance,,
2857681,A43U7R668SGM,720cc99b1d741,1541033461,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2857682,A43U7R668SGM,720cc99b1d741,1541033506,2,filter selection,unknown,JP,"Seoul, South Korea",mobile,Hotel Chain,,
2857683,A43U7R668SGM,720cc99b1d741,1541033516,3,filter selection,unknown,JP,"Seoul, South Korea",mobile,,,
2857684,A43U7R668SGM,720cc99b1d741,1541033523,4,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2857687,A43U7R668SGM,720cc99b1d741,1541033588,7,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
2867715,AI1VULN9NG76,4dc375fb54a33,1541119903,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,Hotel|Motel|Resort,,
2901170,VRHAASU6C08G,e9bff2b6aa1f5,1541368504,1,search for poi,Hongdae,UK,"Seoul, South Korea",desktop,,,
2912245,KHN07K29YAAK,9fdd1902c951b,1541412121,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2914658,UQYP2RNJ050X,39a60d4d20555,1541382214,1,search for destination,"Seoul, South Korea",PH,"Seoul, South Korea",desktop,,,
2929278,RGT8J6C774KK,9a01ac221b198,1541494107,1,search for destination,"Seoul, South Korea",RU,"Seoul, South Korea",desktop,,,
2929279,RGT8J6C774KK,9a01ac221b198,1541494155,2,filter selection,3 Star,RU,"Seoul, South Korea",desktop,4 Star|3 Star,,
2929280,RGT8J6C774KK,9a01ac221b198,1541494155,3,filter selection,4 Star,RU,"Seoul, South Korea",desktop,4 Star,,
2929281,RGT8J6C774KK,9a01ac221b198,1541494156,4,filter selection,5 Star,RU,"Seoul, South Korea",desktop,4 Star|3 Star|5 Star,,
2929282,RGT8J6C774KK,9a01ac221b198,1541494160,5,filter selection,Very Good Rating,RU,"Seoul, South Korea",desktop,4 Star|3 Star|5 Star|Very Good Rating,,
2929283,RGT8J6C774KK,9a01ac221b198,1541494162,6,filter selection,Very Good Rating,RU,"Seoul, South Korea",desktop,4 Star|3 Star|5 Star|Very Good Rating,,
2929284,RGT8J6C774KK,9a01ac221b198,1541494162,7,filter selection,Excellent Rating,RU,"Seoul, South Korea",desktop,4 Star|3 Star|5 Star|Excellent Rating,,
2929285,RGT8J6C774KK,9a01ac221b198,1541494191,8,change of sort order,interaction sort button,RU,"Seoul, South Korea",desktop,,,
2929286,RGT8J6C774KK,9a01ac221b198,1541494193,9,change of sort order,price only,RU,"Seoul, South Korea",desktop,,,
2929287,RGT8J6C774KK,9a01ac221b198,1541494193,10,filter selection,Sort by Price,RU,"Seoul, South Korea",desktop,4 Star|3 Star|5 Star|Very Good Rating|Sort by Price,,
2929344,RGT8J6C774KK,9a01ac221b198,1541494492,67,filter selection,3 Star,RU,"Seoul, South Korea",desktop,4 Star|5 Star|Very Good Rating|Sort by Price,,
2929392,RGT8J6C774KK,9a01ac221b198,1541496201,115,filter selection,3 Star,RU,"Seoul, South Korea",desktop,4 Star|5 Star|Very Good Rating|Sort by Price|3 Star,,
2929393,RGT8J6C774KK,9a01ac221b198,1541496202,116,filter selection,5 Star,RU,"Seoul, South Korea",desktop,Very Good Rating|Sort by Price|3 Star,,
2929394,RGT8J6C774KK,9a01ac221b198,1541496202,117,filter selection,4 Star,RU,"Seoul, South Korea",desktop,5 Star|Very Good Rating|Sort by Price|3 Star,,
2933857,2LC7TTIOX405,f8f37c33700f5,1541112801,1,search for poi,Mokdong Stadium,KR,"Seoul, South Korea",mobile,,,
2933861,2LC7TTIOX405,f8f37c33700f5,1541113050,5,search for poi,Mokdong Stadium,KR,"Seoul, South Korea",mobile,,,
2948351,965L5GT8PV6O,aaf0f9e5a0467,1541181046,1,search for destination,"Seoul, South Korea",PH,"Seoul, South Korea",mobile,,,
2948352,965L5GT8PV6O,aaf0f9e5a0467,1541181076,2,change of sort order,interaction sort button,PH,"Seoul, South Korea",mobile,,,
2948353,965L5GT8PV6O,aaf0f9e5a0467,1541181086,3,change of sort order,price and recommended,PH,"Seoul, South Korea",mobile,,,
2948354,965L5GT8PV6O,aaf0f9e5a0467,1541181086,4,filter selection,Best Value,PH,"Seoul, South Korea",mobile,Best Value,,
2948368,965L5GT8PV6O,aaf0f9e5a0467,1541181171,18,change of sort order,interaction sort button,PH,"Seoul, South Korea",mobile,,,
2948369,965L5GT8PV6O,aaf0f9e5a0467,1541181181,19,change of sort order,price only,PH,"Seoul, South Korea",mobile,,,
2948370,965L5GT8PV6O,aaf0f9e5a0467,1541181181,20,filter selection,Sort by Price,PH,"Seoul, South Korea",mobile,Sort by Price,,
2950074,GA45LF2GULV8,52fdbe8fe58d5,1541135732,1,search for poi,Myeong-dong,MY,"Seoul, South Korea",desktop,,,
2966440,N9QPLIZHXK57,acdccc95aa834,1541249183,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
2966441,N9QPLIZHXK57,acdccc95aa834,1541249205,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
2966442,N9QPLIZHXK57,acdccc95aa834,1541249206,3,change of sort order,price and recommended,JP,"Seoul, South Korea",desktop,,,
2966443,N9QPLIZHXK57,acdccc95aa834,1541249206,4,filter selection,Best Value,JP,"Seoul, South Korea",desktop,Best Value,,
